Type,episode,time_steps,Length,Date,Loss,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
Train,2,73.71373772621155,14.0,February 28,13.436758041381836,0.4874572528120908,0.32112568528449437,1.9229082951167344,0.0,,0.02198196084196802,,29.739905852389654,-30.227363105201746
Test,2,73.71373772621155,14.0,January 16,13.436758041381836,0.4866459305921185,0.3205912047687734,1.919707812986667,0.0,,0.020818023722369145,,299.2824091607255,-299.7690550913176
Test,2,73.71373772621155,14.0,April 17,13.436758041381836,0.45831718946315564,0.3019288782656695,1.8079573548842485,0.0,,0.025804440107612805,,231.99784672071038,-232.45616391017353
Train,3,152.61426210403442,14.0,February 28,-7.453029632568359,0.44308422753541526,0.2918937514730356,1.7478667752876393,0.0,,0.02136871474747767,,15.960699872470354,-16.40378410000577
Test,3,152.61426210403442,14.0,January 16,-7.453029632568359,0.5132438592434997,0.3381133116120895,2.0246306084556234,0.0,,0.02107806035583924,,262.6739804756804,-263.18722433492394
Test,3,152.61426210403442,14.0,April 17,-7.453029632568359,0.4375496878168023,0.28824772333493565,1.7260342714666792,0.0,,0.024821742858755533,,205.25806416272457,-205.69561385054138
Train,4,231.78216361999512,14.0,February 28,-19.528196334838867,0.4801990503984882,0.31634414759979335,1.894276332932896,0.0,,0.022332193505455507,,37.5148872943803,-37.99508634477879
Test,4,231.78216361999512,14.0,January 16,-19.528196334838867,0.46060608869091113,0.30343675270762216,1.8169865431594145,0.0,,0.020570081117754213,,315.86899188031356,-316.32959796900445
Test,4,231.78216361999512,14.0,April 17,-19.528196334838867,0.42695976446713363,0.28127132412627753,1.6842594259058548,0.0,,0.024269265387093786,,177.19979701825906,-177.6267567827262
Train,5,311.241206407547,14.0,February 28,-27.25159454345703,0.4642890818636725,0.3058630243441157,1.8315151158330292,0.0,,0.02148061121110966,,10.40478276890659,-10.869071850770263
Test,5,311.241206407547,14.0,January 16,-27.25159454345703,0.4873426081187974,0.3210501599835875,1.9224560478059116,0.0,,0.02060027877760519,,285.2852761113076,-285.7726187194264
Test,5,311.241206407547,14.0,April 17,-27.25159454345703,0.4166029532272284,0.27444849384200126,1.6434041547425216,0.0,,0.024472942346026524,,170.7475267520946,-171.1641297053218
Train,6,390.25727224349976,14.0,February 28,-31.10814094543457,0.45187358272587885,0.29768397757483933,1.7825387878732895,0.0,,0.021596921737325882,,22.14151986319486,-22.593393445920736
Test,6,390.25727224349976,14.0,January 16,-31.10814094543457,0.43770686913372925,0.2883512707902677,1.7266543161093846,0.0,,0.020196771637618197,,464.8919916653352,-465.3296985344689
Test,6,390.25727224349976,14.0,April 17,-31.10814094543457,0.4556905190614187,0.30019848790239473,1.7975957359424821,0.0,,0.025850531200548327,,221.27178049463086,-221.72747101369228
Train,7,470.6933648586273,14.0,February 28,-6.6291656494140625,0.4709402460406198,0.3102446591273517,1.8577524498643798,0.0,,0.02282823221276256,,30.973668740945758,-31.444608986986378
Test,7,470.6933648586273,14.0,January 16,-6.6291656494140625,0.511996887296928,0.3372918350240125,2.019711586970136,0.0,,0.020733236860153863,,251.01123101074208,-251.523227898039
Test,7,470.6933648586273,14.0,April 17,-6.6291656494140625,0.432015700276212,0.28460205895908286,1.7042039458627714,0.0,,0.02571132169691242,,143.7186803185643,-144.15069601884053
Train,8,550.7891345024109,14.0,February 28,-23.512418746948242,0.4385931800215469,0.2889351521246488,1.7301506115248428,0.0,,0.02096121359937525,,26.287719047985178,-26.726312228006723
Test,8,550.7891345024109,14.0,January 16,-23.512418746948242,0.49712823002194545,0.3274967038014403,1.9610581065954529,0.0,,0.02111334720895948,,271.2940624735174,-271.7911907035393
Test,8,550.7891345024109,14.0,April 17,-23.512418746948242,0.40397216619517695,0.2661276203337068,1.5935785648724963,0.0,,0.02517600243477665,,192.06666473608306,-192.47063690227824
Train,9,627.6455700397491,14.0,February 28,4.6528449058532715,0.46621959036937555,0.307134799178248,1.839130534001483,0.0,,0.021647051876563114,,32.12231627408025,-32.588535864449625
Test,9,627.6455700397491,14.0,January 16,4.6528449058532715,0.45621879504130863,0.30054650403115807,1.7996796648572382,0.0,,0.020709957103486748,,406.31794942621053,-406.77416822125184
