Type,episode,time_steps,Length,Date,Loss,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
Train,2,4.144337177276611,14.0,February 28,-2.5180604457855225,0.8535500968191564,0.5622992748276104,3.3670615259138343,0.0,,0.024773083679943582,,887.2017015316793,-888.0552516284985
Test,2,4.144337177276611,14.0,January 16,-2.5180604457855225,0.7696937432383926,0.5070566276955095,3.0362672317096395,0.0,,0.02181335453655433,,163.47852237739286,-164.24821612063127
Test,2,4.144337177276611,14.0,April 17,-2.5180604457855225,0.8548377413435502,0.5631475455793802,3.3721409914933,0.0,,0.02935716083456394,,1396.4040409189379,-1397.2588786602814
Train,3,10.545681715011597,14.0,February 28,-4.007354736328125,0.829281942226137,0.5463119698294475,3.2713291606553754,0.0,,0.023984630010123235,,812.105253748341,-812.9345356905671
Test,3,10.545681715011597,14.0,January 16,-4.007354736328125,0.7804538183712412,0.5141451190059065,3.0787132874605145,0.0,,0.021739277606633474,,178.16231680602385,-178.94277062439508
Test,3,10.545681715011597,14.0,April 17,-4.007354736328125,0.8736178879651967,0.5755194764898939,3.4462244101191195,0.0,,0.028575836724524125,,1517.7788447770295,-1518.6524626649946
Train,4,17.46497130393982,14.0,February 28,6.170119285583496,0.8554505458322169,0.5635512471557409,3.3745583662020424,0.0,,0.02400293672678417,,889.5090986621051,-890.3645492079373
Test,4,17.46497130393982,14.0,January 16,6.170119285583496,0.7366297132996217,0.48527480126641903,2.9058371333318447,0.0,,0.021941349927218027,,100.14777134011378,-100.8844010534134
Test,4,17.46497130393982,14.0,April 17,6.170119285583496,0.8420666514253051,0.554734243739748,3.3217619385613624,0.0,,0.02949865595221283,,1373.5443427208188,-1374.386409372244
Train,5,28.543241024017334,14.0,February 28,-4.4487409591674805,0.7978181635561475,0.5255843523229857,3.1472116905567966,0.0,,0.024679002094011398,,751.8159134994884,-752.6137316630445
Test,5,28.543241024017334,14.0,January 16,-4.4487409591674805,0.7476944945682547,0.49256402600749055,2.9494851856735913,0.0,,0.021757518290704356,,152.31820957183848,-153.06590406640674
Test,5,28.543241024017334,14.0,April 17,-4.4487409591674805,0.7574142250857808,0.49896716208806935,2.987827317892628,0.0,,0.029327742106588204,,1036.007891761964,-1036.7653059870497
Train,6,40.45989394187927,14.0,February 28,-1.6850645542144775,0.7439516927398843,0.49009835379708433,2.934720681419663,0.0,,0.024072546573130207,,551.1483434016952,-551.8922950944351
Test,6,40.45989394187927,14.0,January 16,-1.6850645542144775,0.6705400393667715,0.44173643619033987,2.6451283604211926,0.0,,0.02147726265434343,,109.3193967055371,-109.98993674490387
Test,6,40.45989394187927,14.0,April 17,-1.6850645542144775,0.8086850352527079,0.5327431987660843,3.1900790345274506,0.0,,0.029069075502519796,,1298.813729605107,-1299.6224146403597
Train,7,53.443721771240234,14.0,February 28,1.8945696353912354,0.7297777869120607,0.48076090893220746,2.8788078379174076,0.0,,0.023710229884467467,,529.2302139696718,-529.9599917565839
Test,7,53.443721771240234,14.0,January 16,1.8945696353912354,0.6837635434526328,0.45044777813250486,2.6972920846257726,0.0,,0.02171401310893007,,60.319278623164635,-61.00304216661727
Test,7,53.443721771240234,14.0,April 17,1.8945696353912354,0.8192765305399052,0.5397206335312212,3.231860081025271,0.0,,0.028524671287772647,,1337.3772831997167,-1338.1965597302565
Train,8,61.982125759124756,14.0,February 28,8.393610954284668,0.7037949588872826,0.4636440163083877,2.776311474900527,0.0,,0.024445360011993808,,461.35620724786725,-462.0600022067545
