datetime,oveFan_u,oveHeaPumY_u,ovePum_u,reaTSetCoo_y,reaTSetHea_y,reaTZon_y,time,weaSta_reaWeaHDirNor_y,weaSta_reaWeaTDryBul_y,rewards
2023-10-22 15:58:35,1.0,0.6000000238418579,1.0,303.15,288.15,308.1268107747736,25459115.0,412.84607926606776,284.4542052390036,-0.0010692821752186221
2023-10-22 15:59:05,1.0,0.6000000238418579,1.0,303.15,288.15,308.12880102538486,25459145.0,412.3926858365255,284.45299075579516,-0.0010692821752186221
2023-10-22 15:59:35,1.0,0.6000000238418579,1.0,303.15,288.15,308.1307750027945,25459175.0,411.93211199961854,284.45148322805414,-0.0010692821752186221
2023-10-22 16:00:05,1.0,0.6000000238418579,1.0,303.15,288.15,308.1327322859702,25459205.0,411.4643219806895,284.44968169692834,-0.0010692821752186221
2023-10-22 16:00:35,1.0,0.800000011920929,1.0,303.15,288.15,308.13467337184943,25459235.0,410.98928000508096,284.44773653445367,-0.0012778949602425538
2023-10-22 16:01:05,1.0,0.800000011920929,1.0,303.15,288.15,308.1365995287723,25459265.0,410.5069502981356,284.4457309465588,-0.0012778949602425538
2023-10-22 16:01:35,1.0,0.800000011920929,1.0,303.15,288.15,308.13851348533893,25459295.0,410.0172970851961,284.44366516083477,-0.0012778949602425538
2023-10-22 16:02:05,1.0,0.800000011920929,1.0,303.15,288.15,308.1404180891342,25459325.0,409.52028459160505,284.44153940487263,-0.0012778949602425538
2023-10-22 16:02:35,1.0,0.800000011920929,1.0,303.15,288.15,308.14231580695764,25459355.0,409.0158770427051,284.4393539062635,-0.0012778949602425538
2023-10-22 16:03:05,1.0,0.800000011920929,1.0,303.15,288.15,308.14420884256174,25459385.0,408.50403866383886,284.4371088925983,-0.0012778949602425538
2023-10-22 16:03:35,1.0,0.800000011920929,1.0,303.15,288.15,308.14609900901553,25459415.0,407.984733680349,284.43480459146815,-0.0012778949602425538
2023-10-22 16:04:05,1.0,0.800000011920929,1.0,303.15,288.15,308.1479879113708,25459445.0,407.4579263175782,284.432441230464,-0.0012778949602425538
2023-10-22 16:04:35,1.0,0.800000011920929,1.0,303.15,288.15,308.1498767293285,25459475.0,406.923580800869,284.430019037177,-0.0012778949602425538
2023-10-22 16:05:05,1.0,0.800000011920929,1.0,303.15,288.15,308.15176633012715,25459505.0,406.3816613555641,284.42753823919804,-0.0012778949602425538
2023-10-22 16:05:35,1.0,0.800000011920929,1.0,303.15,288.15,308.15365768897544,25459535.0,405.8321322070061,284.4249990641183,-0.0012778949602425538
2023-10-22 16:06:05,1.0,0.800000011920929,1.0,303.15,288.15,308.1555516440503,25459565.0,405.2749575805377,284.4224017395287,-0.0012778949602425538
2023-10-22 16:06:35,1.0,0.800000011920929,1.0,303.15,288.15,308.157448681721,25459595.0,404.7101017015015,284.4197464930204,-0.0012778949602425538
2023-10-22 16:07:05,1.0,0.800000011920929,1.0,303.15,288.15,308.15934921924963,25459625.0,404.13752879524014,284.41703355218436,-0.0012778949602425538
2023-10-22 16:07:35,1.0,0.800000011920929,1.0,303.15,288.15,308.16125362079526,25459655.0,403.55720308709624,284.4142631446116,-0.0012778949602425538
2023-10-22 16:08:05,1.0,0.800000011920929,1.0,303.15,288.15,308.16316218145494,25459685.0,402.9690888024125,284.4114354978932,-0.0012778949602425538
2023-10-22 16:08:35,1.0,0.800000011920929,1.0,303.15,288.15,308.1650751275951,25459715.0,402.3731501665315,284.40855083962015,-0.0012778949602425538
2023-10-22 16:09:05,1.0,0.800000011920929,1.0,303.15,288.15,308.16699262215644,25459745.0,401.7693514047959,284.40560939738356,-0.0012778949602425538
2023-10-22 16:09:35,1.0,0.800000011920929,1.0,303.15,288.15,308.16891477106446,25459775.0,401.1576567425483,284.40261139877435,-0.0012778949602425538
2023-10-22 16:10:05,1.0,0.800000011920929,1.0,303.15,288.15,308.17084162950346,25459805.0,400.5380304051314,284.3995570713837,-0.0012778949602425538
2023-10-22 16:10:35,1.0,0.800000011920929,1.0,303.15,288.15,308.1727732077055,25459835.0,399.9104366178878,284.3964466428026,-0.0012778949602425538
2023-10-22 16:11:05,1.0,0.800000011920929,1.0,303.15,288.15,308.17470947620427,25459865.0,399.2748396061601,284.39328034062197,-0.0012778949602425538
2023-10-22 16:11:35,1.0,0.800000011920929,1.0,303.15,288.15,308.1766503705879,25459895.0,398.631203595291,284.39005839243293,-0.0012778949602425538
2023-10-22 16:12:05,1.0,0.800000011920929,1.0,303.15,288.15,308.17859579580227,25459925.0,397.9794928106232,284.38678102582656,-0.0012778949602425538
2023-10-22 16:12:35,1.0,0.800000011920929,1.0,303.15,288.15,308.18054560023637,25459955.0,397.3196714774992,284.3834484683939,-0.0012778949602425538
2023-10-22 16:13:05,1.0,0.800000011920929,1.0,303.15,288.15,308.18249958988633,25459985.0,396.6517038212617,284.3800609477259,-0.0012778949602425538
2023-10-22 16:13:35,1.0,0.800000011920929,1.0,303.15,288.15,308.1844575830242,25460015.0,395.97555406725337,284.3766186914137,-0.0012778949602425538
2023-10-22 16:14:05,1.0,0.800000011920929,1.0,303.15,288.15,308.1864193921835,25460045.0,395.2911864408168,284.3731219270482,-0.0012778949602425538
2023-10-22 16:14:35,1.0,0.800000011920929,1.0,303.15,288.15,308.1883848198182,25460075.0,394.5985651672946,284.36957088222056,-0.0012778949602425538
2023-10-22 16:15:05,1.0,0.800000011920929,1.0,303.15,288.15,308.1903536583692,25460105.0,393.8976544720295,284.36596578452173,-0.0012778949602425538
2023-10-22 16:15:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.19232549693425,25460135.0,393.18841858036404,284.36230686154283,-0.000903952132155772
2023-10-22 16:16:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.19429745635387,25460165.0,392.47082171764094,284.35859434087484,-0.000903952132155772
2023-10-22 16:16:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.1962642759505,25460195.0,391.74482810920284,284.3548284501088,-0.000903952132155772
2023-10-22 16:17:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.19822023086806,25460225.0,391.0104019803923,284.3510094168358,-0.000903952132155772
2023-10-22 16:17:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.20016005606493,25460255.0,390.267507556552,284.3471374686468,-0.000903952132155772
2023-10-22 16:18:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.2020791787377,25460285.0,389.5161090630246,284.34321283313284,-0.000903952132155772
2023-10-22 16:18:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.20397372212165,25460315.0,388.75617072515274,284.339235737885,-0.000903952132155772
2023-10-22 16:19:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.2058404082266,25460345.0,387.987656768279,284.3352064104943,-0.000903952132155772
2023-10-22 16:19:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.2076764768768,25460375.0,387.2105314177461,284.33112507855185,-0.000903952132155772
2023-10-22 16:20:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.2094795836319,25460405.0,386.4247588988966,284.3269919696486,-0.000903952132155772
2023-10-22 16:20:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.2112477415809,25460435.0,385.63030343707317,284.3228073113755,-0.000903952132155772
2023-10-22 16:21:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.2129792645408,25460465.0,384.8271292576184,284.31857133132377,-0.000903952132155772
2023-10-22 16:21:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.21467271165,25460495.0,384.01520058587505,284.31428425708435,-0.000903952132155772
2023-10-22 16:22:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.21632686333965,25460525.0,383.1944816471857,284.30994631624833,-0.000903952132155772
2023-10-22 16:22:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.2179407016829,25460555.0,382.3649366668929,284.3055577364066,-0.000903952132155772
2023-10-22 16:23:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.21951338370644,25460585.0,381.5265298703394,284.3011187451504,-0.000903952132155772
2023-10-22 16:23:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.221044218568,25460615.0,380.6792254828678,284.29662957007065,-0.000903952132155772
2023-10-22 16:24:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.22253265248,25460645.0,379.82298772982074,284.2920904387584,-0.000903952132155772
2023-10-22 16:24:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.22397825763505,25460675.0,378.95778083654085,284.2875015788047,-0.000903952132155772
2023-10-22 16:25:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.2253807216339,25460705.0,378.0835690283708,284.2828632178006,-0.000903952132155772
2023-10-22 16:25:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.2267398368541,25460735.0,377.2003165306532,284.2781755833371,-0.000903952132155772
2023-10-22 16:26:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.22805549061627,25460765.0,376.30798756873065,284.27343890300523,-0.000903952132155772
2023-10-22 16:26:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.229327656653,25460795.0,375.40654636794585,284.26865340439605,-0.000903952132155772
2023-10-22 16:27:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.2305563876953,25460825.0,374.4959571536414,284.26381931510065,-0.000903952132155772
2023-10-22 16:27:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.2317418087975,25460855.0,373.57618415116,284.25893686270996,-0.000903952132155772
2023-10-22 16:28:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.23288411120564,25460885.0,372.64719158584427,284.2540062748151,-0.000903952132155772
2023-10-22 16:28:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.23398085017175,25460915.0,371.70894368303675,284.249027779007,-0.000903952132155772
2023-10-22 16:29:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.2350298613203,25460945.0,370.76140466808016,284.24400160287684,-0.000903952132155772
2023-10-22 16:29:35,1.0,0.4000000059604645,1.0,303.15,288.15,308.2360309945949,25460975.0,369.8045387663172,284.2389279740156,-0.000903952132155772
2023-10-22 16:30:05,1.0,0.4000000059604645,1.0,303.15,288.15,308.23698535861047,25461005.0,368.8375706055158,284.23380712001426,-0.000903952132155772
2023-10-22 16:30:35,0.0,0.0,0.0,303.15,288.15,308.23787265133274,25461035.0,367.8266800750637,284.2286392684639,-1.4941514222321928e-05
2023-10-22 16:31:05,0.0,0.0,0.0,303.15,288.15,308.2387087610474,25461065.0,366.75426587160644,284.2234246469556,-1.4941514222321928e-05
2023-10-22 16:31:35,0.0,0.0,0.0,303.15,288.15,308.2394724093368,25461095.0,365.62133762731435,284.21816348308033,-1.4941514222321928e-05
2023-10-22 16:32:05,0.0,0.0,0.0,303.15,288.15,308.2401537948627,25461125.0,364.42890497435764,284.2128560044291,-1.4941514222321928e-05
2023-10-22 16:32:35,0.0,0.0,0.0,303.15,288.15,308.24074673228,25461155.0,363.1779775449065,284.2075024385931,-1.4941514222321928e-05
2023-10-22 16:33:05,0.0,0.0,0.0,303.15,288.15,308.24124620746284,25461185.0,361.8695649711313,284.2021030131632,-1.4941514222321928e-05
2023-10-22 16:33:35,0.0,0.0,0.0,303.15,288.15,308.24164821429247,25461215.0,360.5046768852022,284.1966579557305,-1.4941514222321928e-05
2023-10-22 16:34:05,0.0,0.0,0.0,303.15,288.15,308.24194954410416,25461245.0,359.0843229192894,284.19116749388604,-1.4941514222321928e-05
2023-10-22 16:34:35,0.0,0.0,0.0,303.15,288.15,308.2421476164475,25461275.0,357.6095127055632,284.18563185522083,-1.4941514222321928e-05
2023-10-22 16:35:05,0.0,0.0,0.0,303.15,288.15,308.24224035980296,25461305.0,356.08125587619384,284.18005126732595,-1.4941514222321928e-05
2023-10-22 16:35:35,0.0,0.0,0.0,303.15,288.15,308.2422261300421,25461335.0,354.5005620633516,284.17442595779244,-1.4941514222321928e-05
2023-10-22 16:36:05,0.0,0.0,0.0,303.15,288.15,308.2421036532872,25461365.0,352.86844089920663,284.1687561542113,-1.4941514222321928e-05
2023-10-22 16:36:35,0.0,0.0,0.0,303.15,288.15,308.24187198352297,25461395.0,351.18590201592923,284.1630420841735,-1.4941514222321928e-05
2023-10-22 16:37:05,0.0,0.0,0.0,303.15,288.15,308.2415304689991,25461425.0,349.45395504568967,284.1572839752703,-1.4941514222321928e-05
2023-10-22 16:37:35,0.0,0.0,0.0,303.15,288.15,308.24107872403545,25461455.0,347.67360962065817,284.15148205509246,-1.4941514222321928e-05
2023-10-22 16:38:05,0.0,0.0,0.0,303.15,288.15,308.24051660439295,25461485.0,345.84587537300496,284.1456365512312,-1.4941514222321928e-05
2023-10-22 16:38:35,0.0,0.0,0.0,303.15,288.15,308.2398441852275,25461515.0,343.9717619349003,284.1397476912775,-1.4941514222321928e-05
2023-10-22 16:39:05,0.0,0.0,0.0,303.15,288.15,308.2390617410838,25461545.0,342.05227893851446,284.1338157028224,-1.4941514222321928e-05
2023-10-22 16:39:35,0.0,0.0,0.0,303.15,288.15,308.23816972760574,25461575.0,340.0884360160176,284.12784081345694,-1.4941514222321928e-05
2023-10-22 16:40:05,0.0,0.0,0.0,303.15,288.15,308.23716876474225,25461605.0,338.08124279958,284.12182325077214,-1.4941514222321928e-05
2023-10-22 16:40:35,0.0,0.0,0.0,303.15,288.15,308.23605962127857,25461635.0,336.031708921372,284.11576324235904,-1.4941514222321928e-05
2023-10-22 16:41:05,0.0,0.0,0.0,303.15,288.15,308.23484320054274,25461665.0,333.9408440135637,284.1096610158087,-1.4941514222321928e-05
2023-10-22 16:41:35,0.0,0.0,0.0,303.15,288.15,308.23352052715063,25461695.0,331.80965770832546,284.1035167987121,-1.4941514222321928e-05
2023-10-22 16:42:05,0.0,0.0,0.0,303.15,288.15,308.232092734651,25461725.0,329.63915963782745,284.0973308186604,-1.4941514222321928e-05
2023-10-22 16:42:35,0.0,0.0,0.0,303.15,288.15,308.2305610539325,25461755.0,327.4303594342399,284.0911033032445,-1.4941514222321928e-05
2023-10-22 16:43:05,0.0,0.0,0.0,303.15,288.15,308.22892681923827,25461785.0,325.1842667297331,284.0848344800555,-1.4941514222321928e-05
