datetime,oveFan_u,oveHeaPumY_u,ovePum_u,reaTSetCoo_y,reaTSetHea_y,reaTZon_y,time,weaSta_reaWeaHDirNor_y,weaSta_reaWeaTDryBul_y,rewards
2023-10-21 00:29:35,0.0,0.0,0.0,297.15,294.15,304.7122610616813,25316975.0,0.0,281.04246839195685,-2.209666174407543e-05
2023-10-21 00:30:05,0.0,0.0,0.0,297.15,294.15,304.7113348033872,25317005.0,0.0,281.0456732608376,-2.209666174407543e-05
2023-10-21 00:30:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.7103513273329,25317035.0,0.0,281.04888040273784,-0.0013023074563644488
2023-10-21 00:31:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.70933945146936,25317065.0,0.0,281.05208725207126,-0.0013023074563644488
2023-10-21 00:31:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.7083212284458,25317095.0,0.0,281.0552912432514,-0.0013023074563644488
2023-10-21 00:32:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.7073136835909,25317125.0,0.0,281.0584898106918,-0.0013023074563644488
2023-10-21 00:32:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.70632969972985,25317155.0,0.0,281.0616803888061,-0.0013023074563644488
2023-10-21 00:33:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.7053772916906,25317185.0,0.0,281.0648604120078,-0.0013023074563644488
2023-10-21 00:33:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.70446370240177,25317215.0,0.0,281.0680273147106,-0.0013023074563644488
2023-10-21 00:34:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.7035944767604,25317245.0,0.0,281.071178531328,-0.0013023074563644488
2023-10-21 00:34:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.7027742968015,25317275.0,0.0,281.07431149627354,-0.0013023074563644488
2023-10-21 00:35:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.7020062103865,25317305.0,0.0,281.07742364396086,-0.0013023074563644488
2023-10-21 00:35:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.70129312056963,25317335.0,0.0,281.08051240880354,-0.0013023074563644488
2023-10-21 00:36:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.7006374827292,25317365.0,0.0,281.08357522521516,-0.0013023074563644488
2023-10-21 00:36:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.70004114884983,25317395.0,0.0,281.08660952760926,-0.0013023074563644488
2023-10-21 00:37:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.6995054434042,25317425.0,0.0,281.08961275039945,-0.0013023074563644488
2023-10-21 00:37:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.6990308321432,25317455.0,0.0,281.09258232799937,-0.0013023074563644488
2023-10-21 00:38:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.69861623688956,25317485.0,0.0,281.0955156948225,-0.0013023074563644488
2023-10-21 00:38:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.698260235093,25317515.0,0.0,281.09841028528245,-0.0013023074563644488
2023-10-21 00:39:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.6979619287051,25317545.0,0.0,281.1012635337928,-0.0013023074563644488
2023-10-21 00:39:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.6977209872041,25317575.0,0.0,281.1040728747672,-0.0013023074563644488
2023-10-21 00:40:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.6975373379536,25317605.0,0.0,281.1068357426191,-0.0013023074563644488
2023-10-21 00:40:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.69741090259083,25317635.0,0.0,281.1095495717622,-0.0013023074563644488
2023-10-21 00:41:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.6973414833692,25317665.0,0.0,281.11221179661004,-0.0013023074563644488
2023-10-21 00:41:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.6973287506776,25317695.0,0.0,281.11481985157616,-0.0013023074563644488
2023-10-21 00:42:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.69737226636,25317725.0,0.0,281.1173711710742,-0.0013023074563644488
2023-10-21 00:42:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.6974715078452,25317755.0,0.0,281.1198631895177,-0.0013023074563644488
2023-10-21 00:43:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.69762588403546,25317785.0,0.0,281.12229334132024,-0.0013023074563644488
2023-10-21 00:43:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.69783474481807,25317815.0,0.0,281.12465906089545,-0.0013023074563644488
2023-10-21 00:44:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.69809738761245,25317845.0,0.0,281.12695778265686,-0.0013023074563644488
2023-10-21 00:44:35,1.0,0.8999999761581421,1.0,297.15,294.15,304.6984130629471,25317875.0,0.0,281.129186941018,-0.0013023074563644488
2023-10-21 00:45:05,1.0,0.8999999761581421,1.0,297.15,294.15,304.69878097972787,25317905.0,0.0,281.1313439703926,-0.0013023074563644488
2023-10-21 00:45:35,1.0,0.5,1.0,297.15,294.15,304.69920010097496,25317935.0,0.0,281.1334263051941,-0.0009757988981107801
2023-10-21 00:46:05,1.0,0.5,1.0,297.15,294.15,304.69966714728974,25317965.0,0.0,281.1354313798362,-0.0009757988981107801
2023-10-21 00:46:35,1.0,0.5,1.0,297.15,294.15,304.7001766673629,25317995.0,0.0,281.1373566287324,-0.0009757988981107801
2023-10-21 00:47:05,1.0,0.5,1.0,297.15,294.15,304.7007228370652,25318025.0,0.0,281.13919948629626,-0.0009757988981107801
2023-10-21 00:47:35,1.0,0.5,1.0,297.15,294.15,304.70130027016376,25318055.0,0.0,281.1409573869414,-0.0009757988981107801
2023-10-21 00:48:05,1.0,0.5,1.0,297.15,294.15,304.70190426239367,25318085.0,0.0,281.1426277650814,-0.0009757988981107801
2023-10-21 00:48:35,1.0,0.5,1.0,297.15,294.15,304.7025306064134,25318115.0,0.0,281.14420805512987,-0.0009757988981107801
2023-10-21 00:49:05,1.0,0.5,1.0,297.15,294.15,304.7031759145602,25318145.0,0.0,281.1456956915003,-0.0009757988981107801
2023-10-21 00:49:35,1.0,0.5,1.0,297.15,294.15,304.7038372909952,25318175.0,0.0,281.14708810860634,-0.0009757988981107801
2023-10-21 00:50:05,1.0,0.5,1.0,297.15,294.15,304.7045117328169,25318205.0,0.0,281.14838274086156,-0.0009757988981107801
2023-10-21 00:50:35,1.0,0.5,1.0,297.15,294.15,304.7051970508637,25318235.0,0.0,281.1495770226796,-0.0009757988981107801
2023-10-21 00:51:05,1.0,0.5,1.0,297.15,294.15,304.7058913191032,25318265.0,0.0,281.1506683884739,-0.0009757988981107801
2023-10-21 00:51:35,1.0,0.5,1.0,297.15,294.15,304.7065925076894,25318295.0,0.0,281.1516542726581,-0.0009757988981107801
2023-10-21 00:52:05,1.0,0.5,1.0,297.15,294.15,304.7072987506981,25318325.0,0.0,281.15253210964585,-0.0009757988981107801
2023-10-21 00:52:35,1.0,0.5,1.0,297.15,294.15,304.70800839865666,25318355.0,0.0,281.15329933385067,-0.0009757988981107801
2023-10-21 00:53:05,1.0,0.5,1.0,297.15,294.15,304.70872027936923,25318385.0,0.0,281.1539533796862,-0.0009757988981107801
