Type,episode,time_steps,Length,Date,Loss,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
Train,0,5.498682975769043,7.0,October 13,-4.788819219384875,76.64118812765393,0.4738663092785197,0.33095834611770886,1.9817865036988562,0.0,,0.02428632848574237,,728.1841200688702,-728.6579863781487
Test,0,5.498682975769043,7.0,January 16,-4.912722110748291,66.91095733642578,0.5019452402647474,0.3155784617258215,1.8896913875797696,0.0,,0.022422013667909826,,242.5179781145152,-243.01992335477993
Test,0,5.498682975769043,7.0,January 16,-4.912722110748291,66.91095733642578,0.443005137000266,0.3254898024956506,1.9490407335068884,0.0,,0.026004810321713638,,970.1929106422168,-970.635915779217
Test,0,5.498682975769043,7.0,January 16,-4.912722110748291,66.91095733642578,0.454819983321747,0.3063413432609031,1.8343793009634912,0.0,,0.02153071519934161,,55.55665105601064,-56.011471039332385
Test,0,5.498682975769043,7.0,January 16,-4.912722110748291,66.91095733642578,0.4471242059451153,0.3158795654264525,1.8914944037512131,0.0,,0.023282030180120455,,205.69850231544328,-206.14562652138838
Train,1,4.761512994766235,7.0,April 04,-3.918726009981973,53.98259306805475,0.47215487995622185,0.32514835251540125,1.9469961228467136,0.0,,0.023931018106504026,,584.2912126491541,-584.7633675291103
Train,2,5.506099700927734,7.0,March 26,-5.681187454943678,128.5369409232153,0.5125338474136272,0.35826068880119727,2.145273585635913,0.0,,0.029858125778436436,,834.9813423130606,-835.4938761604742
Train,3,5.978906154632568,7.0,February 23,-1.6109068859368563,13.33640799022812,0.4419369767038031,0.3026031291906656,1.8119947855728467,0.0,,0.022234859655870524,,217.0303505567547,-217.4722875334585
Train,4,5.445970058441162,7.0,October 12,-6.221678103719439,119.02206911359515,0.4694961267189039,0.3289765506458014,1.969919464944921,0.0,,0.02513963883767344,,928.0437541439455,-928.5132502706645
Train,5,5.202648878097534,7.0,February 08,-0.14613167798545743,0.1963285063762409,0.38306125171108796,0.25782829190073936,1.5438819874295768,0.0,,0.020917359358837727,,20.03981534123762,-20.422876592948707
Train,6,5.3365325927734375,7.0,October 13,-4.995016975062234,82.94251418113708,0.4741586327334781,0.3306730136745517,1.9800779261949206,0.0,,0.024239562256115146,,748.6817636103359,-749.1559222430694
Train,7,4.739518880844116,7.0,February 02,-0.21615606789211078,0.6254479507302416,0.42147388601497704,0.2834367614128076,1.6972261162443563,0.0,,0.0219269493205055,,35.215037370413754,-35.63651125642873
Train,8,5.258541584014893,7.0,June 11,-12.092684924602509,394.68427784102306,0.5352904707172347,0.377984805645014,2.2633820697306253,0.0,,0.029476176512909874,,1820.3643991247768,-1820.899689595494
Train,9,4.347247362136841,7.0,February 05,-0.040616671155606,0.02466680263764179,0.376808086890505,0.25440269918559566,1.5233694562011735,0.0,,0.020470191014919988,,5.401924319125276,-5.778732406015781
Train,10,5.717222452163696,7.0,March 24,-2.9983562858708734,36.96403888696919,0.4555837420158119,0.31979983898807096,1.9149690957369532,0.0,,0.026686797363451985,,442.73886936081925,-443.19445310283504
Train,11,4.776390314102173,7.0,March 30,-9.61182257107326,261.2382797513689,0.5046203529835948,0.3496787278475709,2.093884597889646,0.0,,0.028683570781191502,,1415.7301661950698,-1416.2347865480535
Train,12,5.134955883026123,7.0,March 17,-2.9600697585514615,30.341680220195226,0.46110848750075834,0.32181114213269757,1.927012827141901,0.0,,0.022669143338025548,,434.6856397291355,-435.1467482166363
Train,13,5.518283843994141,7.0,October 04,-6.907423666545323,134.00305393763952,0.44743949279301043,0.3204312810671698,1.9187501860309566,0.0,,0.025339499731280215,,1015.5060306744531,-1015.9534701672461
Train,14,5.2605390548706055,7.0,September 28,-10.253066624913897,328.54297726494923,0.4355032788913209,0.3058294290830099,1.8313139466048503,0.0,,0.02972074287161955,,1488.8795148133788,-1489.31501809227
Train,15,5.415341377258301,7.0,June 10,-10.647308294262205,338.5094291823251,0.5110660414491801,0.360490165518179,2.158623745617838,0.0,,0.030275528688471838,,1580.8982776338194,-1581.4093436752685
Train,16,5.500883102416992,7.0,March 25,-3.7427620225852087,58.24847155522236,0.4538034439631539,0.31846314177534496,1.9069649208104482,0.0,,0.02604686452996745,,543.0501520601157,-543.5039555040788
Train,17,5.394027948379517,7.0,January 02,-0.1956716945860535,0.3846552767393275,0.4673652329336907,0.30095349363758384,1.8021167283687654,0.0,,0.019701463217473746,,24.769722755991985,-25.237087988925676
Train,18,5.467383623123169,7.0,October 20,-3.4311722468119115,44.63192268717882,0.4294490608694768,0.3005154810593655,1.7994938985590765,0.0,,0.025375235751135605,,523.2216967518598,-523.6511458127293
Train,19,4.960988521575928,7.0,March 02,-2.8521151942799667,33.56657902722717,0.40850295336234177,0.2847450763252072,1.70506033727669,0.0,,0.023068089354167067,,415.8416394515814,-416.25014240494374
Train,20,5.362224340438843,7.0,September 27,-13.043328080858503,460.7043195452009,0.5444097353051954,0.38715471442740346,2.318291703158105,0.0,,0.031232761442713954,,1891.5103737247725,-1892.0547834600777
Train,21,5.015377998352051,7.0,June 12,-12.629646607807704,438.0617945534842,0.5310529301987837,0.3756818192506104,2.249591732039584,0.0,,0.02972075202564483,,1843.2013919152696,-1843.7324448454683
Train,22,5.2705237865448,7.0,May 11,-12.830195886748177,528.4300956726074,0.547024407663897,0.3821048034901961,2.28805271551016,0.0,,0.032452026868994274,,1853.8369984054111,-1854.384022813075
