Type,episode,time_steps,Length,Date,Loss,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
Train,2,79.57830667495728,14.0,February 28,8.645160675048828,0.4627980116744672,0.3048807414186832,1.825633182147805,0.0,,0.021520889665443813,,17.51165762100518,-17.97445563267965
Test,2,79.57830667495728,14.0,January 16,8.645160675048828,0.4348088971811508,0.28644215317259303,1.7152224740873794,0.0,,0.020657417103860095,,441.9016233555914,-442.33643225277257
Test,2,79.57830667495728,14.0,April 17,8.645160675048828,0.408272446994011,0.2689605469349109,1.6105421972150342,0.0,,0.02569364436056148,,170.58960103078098,-170.997873477775
Train,3,162.454327583313,14.0,February 28,-22.56521224975586,0.3781019524978012,0.24908491545220066,1.4915264398335382,0.0,,0.02114605610910202,,53.00152357990131,-53.37962553239911
Test,3,162.454327583313,14.0,January 16,-22.56521224975586,0.4235794169363983,0.27904442851431377,1.6709247216425986,0.0,,0.02079439405430284,,496.2669394107798,-496.6905188277162
Test,3,162.454327583313,14.0,April 17,-22.56521224975586,0.35277769951237287,0.23240187699631695,1.3916280059659694,0.0,,0.02440187554980898,,141.7408581058777,-142.09363580539005
Train,4,243.92509174346924,14.0,February 28,15.157090187072754,0.38633848724145614,0.2545109560920051,1.5240177011497305,0.0,,0.02195975159909021,,59.41005211943893,-59.79639060668038
Test,4,243.92509174346924,14.0,January 16,15.157090187072754,0.392662643632821,0.2586771656279336,1.5489650636403218,0.0,,0.02044001289781947,,526.8008465348549,-527.1935091784877
Test,4,243.92509174346924,14.0,April 17,15.157090187072754,0.3516441042381804,0.2316550903659808,1.387156229736413,0.0,,0.024025366550892588,,114.203995559298,-114.55563966353617
Train,5,326.3112156391144,14.0,February 28,-25.52738380432129,0.4020890847580602,0.26488708936724276,1.586150235731993,0.0,,0.021345296990592743,,16.60510628292206,-17.00719536768012
Test,5,326.3112156391144,14.0,January 16,-25.52738380432129,0.44327956168636634,0.2920224331424979,1.7486373242065747,0.0,,0.020530177439013753,,415.1031834661244,-415.5464630278108
Test,5,326.3112156391144,14.0,April 17,-25.52738380432129,0.3727549551976374,0.24556243596846344,1.4704337483141519,0.0,,0.024364211904451632,,105.94235624954207,-106.31511120473971
Train,6,408.21351194381714,14.0,February 28,-18.25449562072754,0.432770376182939,0.2850992221796874,1.7071809711358548,0.0,,0.02152970642154,,22.724469080731147,-23.157239456914088
Test,6,408.21351194381714,14.0,January 16,-18.25449562072754,0.4288982480504037,0.28254835275904355,1.6919063039463687,0.0,,0.020189169188434674,,488.79466833119204,-489.22356657924246
