,Type,episode,time_steps,Length,Date,Loss,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
39,Train,15,349.8463848,7,28-Feb,-2.476349831,0.346299368,0.241843051,1.448161985,0,,0.022906218,,157.3375714,-157.6838708
40,Test,15,349.8463848,7,16-Jan,-2.476349831,0.330429511,0.207858036,1.2446589,0,,0.021448548,,41.4026545,-41.73308401
41,Test,15,349.8463848,7,17-Apr,-2.476349831,0.321257413,0.234229939,1.402574482,0,,0.024900212,,568.9366222,-569.2578796
42,Train,16,374.8299255,7,28-Feb,2.822897911,0.308889826,0.215645108,1.291288073,0,,0.022719542,,86.19526665,-86.50415647
43,Test,16,374.8299255,7,16-Jan,2.822897911,0.330955229,0.208243207,1.246965312,0,,0.021247317,,21.39982506,-21.73078029
44,Test,16,374.8299255,7,17-Apr,2.822897911,0.308856826,0.224857094,1.346449663,0,,0.024641233,,472.4801609,-472.7890177
45,Train,17,400.2696574,7,28-Feb,7.976160049,0.279313471,0.195330715,1.169645002,0,,0.022687676,,70.45895374,-70.73826721
46,Test,17,400.2696574,7,16-Jan,7.976160049,0.291964322,0.182086836,1.090340336,0,,0.021054677,,70.71653118,-71.0084955
47,Test,17,400.2696574,7,17-Apr,7.976160049,0.319451582,0.234028474,1.401368107,0,,0.024972043,,514.5597725,-514.8792241
48,Train,18,425.3763027,7,28-Feb,-11.95491123,0.285612443,0.198905645,1.191051765,0,,0.022407313,,48.12658047,-48.41219291
49,Test,18,425.3763027,7,16-Jan,-11.95491123,0.286423591,0.179045521,1.072128867,0,,0.020914804,,84.88050566,-85.16692925
50,Test,18,425.3763027,7,17-Apr,-11.95491123,0.273936439,0.201190282,1.204732228,0,,0.02462412,,375.5018263,-375.7757627
51,Train,19,450.0409355,7,28-Feb,-6.399536133,0.284510677,0.198932588,1.191213102,0,,0.022306377,,81.07089529,-81.35540596
52,Test,19,450.0409355,7,16-Jan,-6.399536133,0.306150052,0.191144526,1.144578,0,,0.021103387,,29.89485643,-30.20100648
53,Test,19,450.0409355,7,17-Apr,-6.399536133,0.290767259,0.212128211,1.27022881,0,,0.024663568,,424.4168852,-424.7076525
54,Train,20,474.8970189,7,28-Feb,3.465822697,0.300916039,0.209311458,1.253362021,0,,0.022651421,,71.16484927,-71.46576531
55,Test,20,474.8970189,7,16-Jan,3.465822697,0.278890209,0.173773707,1.040561117,0,,0.021052204,,57.41091874,-57.68980894
56,Test,20,474.8970189,7,17-Apr,3.465822697,0.266169278,0.194342778,1.163729209,0,,0.024742876,,328.4236297,-328.689799
57,Train,21,500.4976871,7,28-Feb,-7.173909187,0.299688851,0.208846802,1.25057965,0,,0.022436457,,78.05587764,-78.35556649
58,Test,21,500.4976871,7,16-Jan,-7.173909187,0.332364049,0.208093942,1.246071507,0,,0.020998154,,44.18907355,-44.5214376
59,Test,21,500.4976871,7,17-Apr,-7.173909187,0.29643349,0.215475522,1.290272586,0,,0.024756884,,445.9901768,-446.2866103
60,Train,22,525.6051462,7,28-Feb,6.834019661,0.314364394,0.219227716,1.312740815,0,,0.023047678,,91.36193965,-91.67630404
61,Test,22,525.6051462,7,16-Jan,6.834019661,0.273551078,0.171819442,1.028858937,0,,0.02084218,,54.95024053,-55.22379161
62,Test,22,525.6051462,7,17-Apr,6.834019661,0.276135863,0.202232583,1.21097355,0,,0.025237413,,415.0856816,-415.3618175
63,Train,23,550.0582275,7,28-Feb,-8.502103806,0.300569542,0.210198004,1.258670684,0,,0.022533087,,78.28355459,-78.58412413
64,Test,23,550.0582275,7,16-Jan,-8.502103806,0.302559972,0.188979465,1.131613562,0,,0.021066595,,39.93554828,-40.23810825
65,Test,23,550.0582275,7,17-Apr,-8.502103806,0.282192506,0.206551055,1.236832663,0,,0.024961202,,406.6539051,-406.9360976
66,Train,24,575.5627306,7,28-Feb,17.31421471,0.273501421,0.190558234,1.141067269,0,,0.022831944,,61.02317056,-61.29667199
67,Test,24,575.5627306,7,16-Jan,17.31421471,0.304743103,0.192466467,1.152493814,0,,0.021238422,,26.23386918,-26.53861228
68,Test,24,575.5627306,7,17-Apr,17.31421471,0.303539913,0.222384297,1.331642495,0,,0.025294286,,446.2194695,-446.5230095
69,Train,25,600.8159895,7,28-Feb,1.773458719,0.295723325,0.206458327,1.236277408,0,,0.022114928,,59.6854821,-59.98120543
70,Test,25,600.8159895,7,16-Jan,1.773458719,0.316877387,0.198756545,1.19015895,0,,0.021053378,,51.04094167,-51.35781905
71,Test,25,600.8159895,7,17-Apr,1.773458719,0.289699696,0.212488097,1.272383817,0,,0.024276365,,412.4953349,-412.7850346
72,Train,26,626.1327405,7,28-Feb,-16.94098663,0.286499557,0.200326788,1.199561606,0,,0.022825685,,49.29455521,-49.58105476
73,Test,26,626.1327405,7,16-Jan,-16.94098663,0.332488473,0.210285976,1.259197462,0,,0.021200071,,17.94769215,-18.28018063
74,Test,26,626.1327405,7,17-Apr,-16.94098663,0.32222404,0.235156845,1.408124818,0,,0.025035857,,552.6296062,-552.9518303
75,Train,27,651.8374071,7,28-Feb,4.595476151,0.317845944,0.222589501,1.332871263,0,,0.022578507,,104.3021033,-104.6199493
76,Test,27,651.8374071,7,16-Jan,4.595476151,0.31030293,0.195154215,1.168588112,0,,0.020970574,,38.14257949,-38.45288242
77,Test,27,651.8374071,7,17-Apr,4.595476151,0.264967459,0.193068367,1.156098004,0,,0.024361298,,319.1897966,-319.4547641
78,Train,28,676.9257846,7,28-Feb,-2.070729256,0.279809123,0.19494086,1.167310537,0,,0.022411079,,40.35683806,-40.63664718
79,Test,28,676.9257846,7,16-Jan,-2.070729256,0.292029312,0.183501791,1.098813118,0,,0.020993471,,39.94547274,-40.23750205
80,Test,28,676.9257846,7,17-Apr,-2.070729256,0.270340068,0.197216816,1.180939017,0,,0.024456758,,365.0617887,-365.3321287
81,Train,29,702.7246082,7,28-Feb,0.52290678,0.258825962,0.181442542,1.086482286,0,,0.022703486,,25.97285351,-26.23167948
82,Test,29,702.7246082,7,16-Jan,0.52290678,0.265911147,0.166871218,0.999228849,0,,0.020750435,,74.02061723,-74.28652838
83,Test,29,702.7246082,7,17-Apr,0.52290678,0.279963671,0.203167726,1.216573212,0,,0.024020263,,419.596138,-419.8761016
84,Train,30,727.4049726,7,28-Feb,-11.95740223,0.243738689,0.17087278,1.023190297,0,,0.021993487,,26.12043732,-26.36417601
85,Test,30,727.4049726,7,16-Jan,-11.95740223,0.26185906,0.164340603,0.984075465,0,,0.020873369,,63.91081739,-64.17267645
86,Test,30,727.4049726,7,17-Apr,-11.95740223,0.222010364,0.161932991,0.969658628,0,,0.024875483,,275.4457035,-275.6677139
87,Train,31,752.6051931,7,28-Feb,0.43241787,0.22836618,0.159867344,0.957289482,0,,0.021669525,,21.36120202,-21.5895682
88,Test,31,752.6051931,7,16-Jan,0.43241787,0.23360157,0.146670939,0.878269098,0,,0.020439271,,118.3984039,-118.6320055
89,Test,31,752.6051931,7,17-Apr,0.43241787,0.217822103,0.159394834,0.954460083,0,,0.024249955,,238.0630971,-238.2809192
90,Train,32,777.6642096,7,28-Feb,16.93391228,0.21825141,0.151842295,0.909235298,0,,0.021747224,,47.24603587,-47.46428728
91,Test,32,777.6642096,7,16-Jan,16.93391228,0.214542109,0.133885785,0.801711286,0,,0.020518927,,213.1024508,-213.3169929
92,Test,32,777.6642096,7,17-Apr,16.93391228,0.178746049,0.13069814,0.782623592,0,,0.023297604,,141.2249443,-141.4036904
93,Train,33,802.6381869,7,28-Feb,-0.557442307,0.189513089,0.132719745,0.794729014,0,,0.022149335,,54.48098369,-54.67049678
94,Test,33,802.6381869,7,16-Jan,-0.557442307,0.200790029,0.126318185,0.756396316,0,,0.020205656,,194.9243342,-195.1251242
95,Test,33,802.6381869,7,17-Apr,-0.557442307,0.209094256,0.15377791,0.920825806,0,,0.023880646,,185.2087986,-185.4178928
96,Train,34,827.3750408,7,28-Feb,-2.536174774,0.198928946,0.139343776,0.83439387,0,,0.021764574,,41.86380853,-42.06273747
97,Test,34,827.3750408,7,16-Jan,-2.536174774,0.210690411,0.13184352,0.789482154,0,,0.020593608,,176.8107749,-177.0214653
98,Test,34,827.3750408,7,17-Apr,-2.536174774,0.210690105,0.153356019,0.918299514,0,,0.023695849,,204.5061893,-204.7168794
99,Train,35,851.8086674,7,28-Feb,21.03362656,0.211230989,0.146625109,0.877994665,0,,0.021852745,,65.77515962,-65.98639061
100,Test,35,851.8086674,7,16-Jan,21.03362656,0.19933852,0.125698243,0.752684087,0,,0.02009754,,198.5135735,-198.712912
101,Test,35,851.8086674,7,17-Apr,21.03362656,0.22504282,0.163188396,0.977176022,0,,0.024468544,,240.8432348,-241.0682776
102,Train,36,876.5238266,7,28-Feb,23.11636925,0.16799977,0.117519459,0.703709334,0,,0.020941831,,107.1127763,-107.280776
103,Test,36,876.5238266,7,16-Jan,23.11636925,0.246749578,0.154972929,0.927981608,0,,0.020761121,,65.67044144,-65.91719102
104,Test,36,876.5238266,7,17-Apr,23.11636925,0.233952218,0.17216585,1.030933235,0,,0.024329978,,307.6876193,-307.9215715
105,Train,37,900.9655359,7,28-Feb,12.01174068,0.231456725,0.162521193,0.973180797,0,,0.02236301,,57.01038219,-57.24183892
106,Test,37,900.9655359,7,16-Jan,12.01174068,0.278471426,0.174692774,1.046064515,0,,0.02118415,,72.37095317,-72.64942459
107,Test,37,900.9655359,7,17-Apr,12.01174068,0.222049534,0.162442619,0.972710295,0,,0.02380271,,211.0302416,-211.2522911
108,Train,38,926.3464186,7,28-Feb,-6.747136593,0.216303679,0.151889834,0.909519961,0,,0.022168206,,30.46576435,-30.68206803
109,Test,38,926.3464186,7,16-Jan,-6.747136593,0.253201246,0.159062069,0.952467479,0,,0.020677213,,89.39349138,-89.64669263
110,Test,38,926.3464186,7,17-Apr,-6.747136593,0.272636296,0.200199261,1.198797972,0,,0.024718314,,412.3874403,-412.6600766
111,Train,39,951.1896422,7,28-Feb,-3.552814722,0.228507734,0.159471162,0.954917136,0,,0.022637522,,47.69124874,-47.91975648
112,Test,39,951.1896422,7,16-Jan,-3.552814722,0.260138032,0.163782414,0.980733016,0,,0.021016244,,62.92077581,-63.18091384
113,Test,39,951.1896422,7,17-Apr,-3.552814722,0.262399562,0.191485543,1.146620015,0,,0.023939523,,350.1603939,-350.4227935
114,Train,40,977.0017679,7,28-Feb,-5.101512909,0.272531154,0.190017476,1.137829199,0,,0.021910848,,37.90853669,-38.18106784
115,Test,40,977.0017679,7,16-Jan,-5.101512909,0.252777892,0.158640666,0.949944108,0,,0.020509388,,73.45969035,-73.71246825
116,Test,40,977.0017679,7,17-Apr,-5.101512909,0.250830907,0.182535462,1.093026718,0,,0.024379478,,318.079074,-318.3299049
117,Train,41,1002.180478,7,28-Feb,-15.39553452,0.240939621,0.170300308,1.019762322,0,,0.021563922,,28.32451384,-28.56545347
118,Test,41,1002.180478,7,16-Jan,-15.39553452,0.26365782,0.166053109,0.994329996,0,,0.020740666,,83.10772947,-83.37138729
119,Test,41,1002.180478,7,17-Apr,-15.39553452,0.225014369,0.164647587,0.985913696,0,,0.02413787,,238.9670096,-239.192024
120,Train,42,1026.895428,7,28-Feb,-5.759213448,0.250302864,0.174493895,1.044873623,0,,0.022357627,,22.54607818,-22.79638104
121,Test,42,1026.895428,7,16-Jan,-5.759213448,0.222575159,0.140332162,0.84031235,0,,0.020781344,,133.1097441,-133.3323193
122,Test,42,1026.895428,7,17-Apr,-5.759213448,0.254860287,0.186205152,1.115000912,0,,0.023618469,,294.5280032,-294.7828635
123,Train,43,1051.304451,7,28-Feb,-10.0180788,0.229947114,0.161265913,0.965664151,0,,0.021453188,,18.59869917,-18.82864629
124,Test,43,1051.304451,7,16-Jan,-10.0180788,0.236924398,0.150098939,0.89879604,0,,0.020696953,,79.79357661,-80.030501
125,Test,43,1051.304451,7,17-Apr,-10.0180788,0.21459893,0.15682595,0.939077544,0,,0.023891869,,196.9618497,-197.1764486
126,Train,44,1076.478333,7,28-Feb,-21.76168251,0.248271865,0.17374653,1.040398382,0,,0.022315323,,33.35579843,-33.60407029
127,Test,44,1076.478333,7,16-Jan,-21.76168251,0.22541371,0.142154004,0.851221581,0,,0.02065812,,133.5267806,-133.7521943
128,Test,44,1076.478333,7,17-Apr,-21.76168251,0.191251008,0.139429285,0.834905897,0,,0.023688148,,177.3119461,-177.5031971
129,Train,45,1101.334968,7,28-Feb,6.893607616,0.188727207,0.13290116,0.795815332,0,,0.021450842,,54.91023975,-55.09896695
130,Test,45,1101.334968,7,16-Jan,6.893607616,0.212500882,0.134564592,0.805776,0,,0.020490064,,133.8537629,-134.0662638
131,Test,45,1101.334968,7,17-Apr,6.893607616,0.212103657,0.154531366,0.925337524,0,,0.023259472,,231.4355179,-231.6476216
132,Train,46,1125.600935,7,28-Feb,-9.69888401,0.215062012,0.151188071,0.905317788,0,,0.021957629,,24.77791837,-24.99298039
133,Test,46,1125.600935,7,16-Jan,-9.69888401,0.213952041,0.13579759,0.813159221,0,,0.02083579,,162.1623696,-162.3763216
134,Test,46,1125.600935,7,17-Apr,-9.69888401,0.195431645,0.143166209,0.857282686,0,,0.023496528,,224.2510091,-224.4464408
135,Train,47,1150.12756,7,28-Feb,-5.156821251,0.209869428,0.147217266,0.881540514,0,,0.022007888,,29.80521394,-30.01508337
136,Test,47,1150.12756,7,16-Jan,-5.156821251,0.229253352,0.144450642,0.864973906,0,,0.020287473,,116.6202952,-116.8495485
137,Test,47,1150.12756,7,17-Apr,-5.156821251,0.200857185,0.145993118,0.874210288,0,,0.023817249,,176.4224567,-176.6233139
138,Train,48,1175.411963,7,28-Feb,-17.05459213,0.202191599,0.141321455,0.846236257,0,,0.020870955,,13.71519435,-13.91738595
139,Test,48,1175.411963,7,16-Jan,-17.05459213,0.231405906,0.146379588,0.876524478,0,,0.020615616,,87.17927022,-87.41067613
140,Test,48,1175.411963,7,17-Apr,-17.05459213,0.215627199,0.157252894,0.941634095,0,,0.023375277,,234.3766652,-234.5922924
141,Train,49,1200.094235,7,28-Feb,-12.49067211,0.214242166,0.150818523,0.903104928,0,,0.020952784,,20.54564601,-20.75988818
142,Test,49,1200.094235,7,16-Jan,-12.49067211,0.238327721,0.151026484,0.904350202,0,,0.020779059,,100.4221355,-100.6604632
143,Test,49,1200.094235,7,17-Apr,-12.49067211,0.202077857,0.14683801,0.879269519,0,,0.023498707,,141.7568942,-141.9589721
144,Train,50,1224.971743,7,28-Feb,1.424772024,0.210815046,0.148313832,0.888106778,0,,0.022031001,,45.6270817,-45.83789675
145,Test,50,1224.971743,7,16-Jan,1.424772024,0.241540979,0.152722602,0.914506598,0,,0.020778363,,92.01536807,-92.25690905
146,Test,50,1224.971743,7,17-Apr,1.424772024,0.217427726,0.158839005,0.951131768,0,,0.023739355,,236.3523423,-236.5697701
147,Train,51,1250.404771,7,28-Feb,-4.676981926,0.269024523,0.189123073,1.132473489,0,,0.021887103,,49.97447739,-50.24350191
148,Test,51,1250.404771,7,16-Jan,-4.676981926,0.251099493,0.159532226,0.955282788,0,,0.020676644,,60.40320373,-60.65430323
149,Test,51,1250.404771,7,17-Apr,-4.676981926,0.248148903,0.180951255,1.083540448,0,,0.023518124,,254.9773047,-255.2254536
150,Train,52,1275.538491,7,28-Feb,-14.82060337,0.281117745,0.196737322,1.178067798,0,,0.022293498,,57.30151389,-57.58263163
151,Test,52,1275.538491,7,16-Jan,-14.82060337,0.221082589,0.139907582,0.837769954,0,,0.020394379,,135.2553062,-135.4763888
152,Test,52,1275.538491,7,17-Apr,-14.82060337,0.266828502,0.195340991,1.169706535,0,,0.024235548,,318.2798885,-318.546717
153,Train,53,1300.625249,7,28-Feb,-5.198272705,0.220381556,0.154173262,0.923193186,0,,0.021684489,,19.23863231,-19.45901387
154,Test,53,1300.625249,7,16-Jan,-5.198272705,0.230952227,0.146247465,0.875733321,0,,0.020511194,,105.5495521,-105.7805044
